"Report Category","Name ---------------------------------------------","LEA Code","Superintendent -------------------","Mailing Or Physical Address --------","City ---------------------","Zip ------------","Telephone ---------","Fax -------------------","E-Mail Address ---------------------------","SBE Dist ----------","Type Description --------------------------------------------------------------","Date Superintendent Name/E-mail AddressRecord Was Added Or Changed"
"A) Regular Local/Local/Supervisory Union/Specialized","Randolph County School System","760","Dr Stephen Gainey","2222-C S Fayetteville Street","Asheboro","27205-7379","(336) 633-5000","(336) 633-5105","sgainey@randolph.k12.nc.us","Piedmont Triad","Regular local school district","07-29-2013 09:41:43 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Richmond County Schools","770","Dr Joe Ferrell","PO Drawer 1259","Hamlet","28345-1259","(910) 582-5860","(910) 582-7921","joeferrell@richmond.k12.nc.us","Sandhills","Regular local school district","02-09-2023 01:11:10 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Roanoke Rapids City Schools","421"," Juliana   Thompson","536 Hamilton St","Roanoke Rapids","27870-9990","(252) 519-7100","(252) 519-7195","thompsonji.co@rrgsd.org","Northeast","Regular local school district","09-22-2021 07:45:23 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Rockingham County Schools","790","Mr John O Stover III","511 Harrington Hwy","Eden","27288-7547","(336) 627-2600","(336) 627-2660","jstover@rock.k12.nc.us","Piedmont Triad","Regular local school district","07-05-2022 12:40:43 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Rowan-Salisbury Schools","800","Dr Kelly Withers","PO Box 2349","Salisbury","28145-2349","(704) 636-7500","(704) 630-6129","WithersKW@rss.k12.nc.us","Southwest","Regular local school district","09-26-2022 02:33:31 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Rutherford County Schools","810","Dr David Sutton","382 West Main Street","Forest City","28043-3027","(828) 288-2200","(828) 288-2490","dsutton@rcsnc.org","Western","Regular local school district","08-19-2019 08:59:57 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Sampson County Schools","820","Dr David R Goodin","437 Rowan Rd","Clinton","28328","(910) 592-1401","(910) 590-2445","dgoodin@sampson.k12.nc.us","Sandhills","Regular local school district","02-23-2021 01:32:55 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Scotland County Schools","830","Ms Barbara Adams","322 S Main St","Laurinburg","28352-3855","(910) 276-1138","(910) 277-4310","badams1@scotland.k12.nc.us","Sandhills","Regular local school district","03-10-2023 11:37:51 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Stanly County Schools","840","Dr Jarrod Dennis","1000-4 N First Street","Albemarle","28001","(704) 961-3000","(704) 961-3099","jarrod.dennis@stanlycountyschools.org","Southwest","Regular local school district","11-02-2020 08:17:29 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Stokes County Schools","850","Dr Brad Rice","PO Box 50","Danbury","27016-0050","(336) 593-8146","(336) 593-3441","brad.rice@stokes.k12.nc.us","Piedmont Triad","Regular local school district","07-02-2016 08:50:57 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Surry County Schools","860","Dr Travis L Reeves","PO Box 364","Dobson","27017-0364","(336) 386-8211","(336) 386-4279","reevest@surry.k12.nc.us","Piedmont Triad","Regular local school district","01-03-2013 02:52:27 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Swain County Schools","870","Mr John Mark Sale","PO Box 2340","Bryson City","28713-2340","(828) 488-3129","(828) 488-8510","msale@swainmail.org","Western","Regular local school district","06-11-2018 08:36:34 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Thomasville City Schools","292","Dr Chris Kennedy","400 Turner Street","Thomasville","27360-3129","(336) 474-4200","(336) 475-0356","kennedyc@tcs.k12.nc.us","Piedmont Triad","Regular local school district","07-26-2022 11:53:33 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Transylvania County Schools","880","Dr Jeffrey S McDaris","225 Rosenwald Ln","Brevard","28712-3239","(828) 884-6173","(828) 884-9524","jmcdaris@tcsnc.org","Western","Regular local school district","04-23-2010 03:15:41 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Tyrrell County Schools","890","Dr Karen Roseboro","1107 Hwy 64 E","Columbia","27925","(252) 796-1121","(252) 796-1492","kroseboro@tycomail.net","Northeast","Regular local school district","10-25-2022 04:35:44 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Union County Public Schools","900","Dr Andrew G. Houlihan","307 E. Jefferson Street","Monroe","28112","(704) 296-9898","(704) 289-9182","andrew.houlihan@ucps.k12.nc.us","Southwest","Regular local school district","09-14-2016 09:33:26 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Vance County Schools","910","Dr Cindy W. Bennett","PO Box 7001","Henderson","27536-7001","(252) 492-2127","(252) 438-6119","cbennett@vcs.k12.nc.us","North Central","Regular local school district","07-06-2021 10:14:50 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Wake County Schools","920","Mrs Catty Q Moore","5625 Dillard Drive","Cary","27518-9227","(919) 431-7400","(919) 694-7758","cqmoore@wcpss.net","North Central","Regular local school district","09-21-2022 10:01:23 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Warren County Schools","930","Mr Keith Sutton","PO Box 110","Warrenton","27589-0110","(252) 257-3184","(252) 257-5357","ksutton@warrenk12nc.org","North Central","Regular local school district","07-26-2021 08:22:52 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Washington County Schools","940","Dr Dr. Linda Jewell Carr","802 Washington St","Plymouth","27962","(252) 793-5171","(252) 793-5062","lcarr@wcsnc.org","Northeast","Regular local school district","08-10-2020 04:43:46 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Watauga County Schools","950","Dr Scott Elliott","175 Pioneer Trail","Boone","28607","(828) 264-7190","(828) 264-7196","elliotts@wataugaschools.org","Northwest","Regular local school district","08-01-2017 11:54:47 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Wayne County Public Schools","960","Dr David Lewis","PO Drawer 1797","Goldsboro","27533-1797","(919) 731-5900","(919) 705-6199","davidlewis@wcps.org","Southeast","Regular local school district","03-11-2021 04:59:04 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Weldon City Schools","422","Dr Dannie T Williams","301 Mulberry St","Weldon","27890","(252) 536-4821","(252) 536-3062","williamsdt@weldonk12.org","Northeast","Regular local school district","07-07-2022 04:34:27 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Whiteville City Schools","241","Dr Marc Whichard","107 W Walter Street","Whiteville","28472-4019","(910) 642-4116","(910) 642-0564","mwhichard@whiteville.k12.nc.us","Sandhills","Regular local school district","07-11-2019 10:54:56 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Wilkes County Schools","970","Mr Mark Byrd","613 Cherry St","North Wilkesboro","28659","(336) 667-1121","(336) 667-8526","byrdma@wilkes.k12.nc.us","Northwest","Regular local school district","08-09-2022 08:09:10 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Wilson County Schools","980","Dr Lane Mills","PO Box 2048","Wilson","27894-2048","(252) 399-7700","(252) 399-2776","Lane.mills@wilsonschoolsnc.net","North Central","Regular local school district","07-08-2016 09:39:24 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Winston Salem / Forsyth County Schools","340","Mrs Tricia McManus","PO Box 2513","Winston Salem","27102-2513","(336) 727-2292","(336) 661-3134","ttmcmanus@wsfcs.k12.nc.us","Piedmont Triad","Regular local school district","08-09-2022 04:49:59 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Yadkin County Schools","990","Dr Todd Martin","121 Washington St","Yadkinville","27055-9806","(336) 551-1100","(336) 679-4013","todd.martin@yadkin.k12.nc.us","Piedmont Triad","Regular local school district","10-22-2013 12:20:13 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Yancey County Schools","995","Mrs Kathy Amos","PO Box 190","Burnsville","28714-0190","(828) 682-6101","(828) 682-7110","kathyamos@yanceync.net","Northwest","Regular local school district","07-08-2019 03:00:41 PM"
