SCHOOL_YEAR,FIPST,STATENAME,ST,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,LEA_TYPE,LEA_TYPE_TEXT,OUT_OF_STATE_FLAG,CHARTER_LEA,CHARTER_LEA_TEXT,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED,OPERATIONAL_SCHOOLS
2023-2024,18,INDIANA,IN,South Adams Schools,01,,IN-0035,1810260,1075 Starfire Way,,,Berne,IN,46711,,1075 Starfire Way,,,Berne,IN,46711,,(260)589-3133,http://www.southadams.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,3
2023-2024,18,INDIANA,IN,South Bend Community School Corp,01,,IN-7205,1810290,215 Dr Martin Luther King Jr B,,,South Bend,IN,46601,,215 Dr Martin Luther King Jr B,,,South Bend,IN,46601,,(574)393-6000,http://www.sbcsc.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,PK,12,Other,Adjusted,31
2023-2024,18,INDIANA,IN,South Central Area Special Ed,01,,IN-8225,1810310,600 Elm St Suite 2,,,Paoli,IN,47454,,600 Elm St Suite 2,,,Paoli,IN,47454,,(812)723-2089,http://www.scasec.k12.in.us,1,Open,1,Open,04/17/2024,8,Other local education agency,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,0
2023-2024,18,INDIANA,IN,South Gibson School Corporation,01,,IN-2765,1810350,3321 W 800 S,,,Fort Branch,IN,47648,,3321 W 800 S,,,Fort Branch,IN,47648,,(812)753-4230,http://www.sgibson.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,18,INDIANA,IN,South Harrison Com Schools,01,,IN-3190,1810360,315 S Harrison Dr,,,Corydon,IN,47112,,315 S Harrison Dr,,,Corydon,IN,47112,,(812)738-2168,http://www.shcsc.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,9
2023-2024,18,INDIANA,IN,South Henry School Corp,01,,IN-3415,1810380,6972 S SR 103,,,Straughn,IN,47387,,6972 S SR 103,,,Straughn,IN,47387,,(765)987-7882,http://www.shenry.k12.in.us,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,18,INDIANA,IN,South Knox School Corp,01,,IN-4325,1810410,6116 E SR 61,,,Vincennes,IN,47591,,6116 E SR 61,,,Vincennes,IN,47591,,(812)726-4440,http://www.sknox.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,18,INDIANA,IN,South Madison Com Sch Corp,01,,IN-5255,1810440,203 S Heritage Way,,,Pendleton,IN,46064,,203 S Heritage Way,,,Pendleton,IN,46064,,(765)778-2152,http://www.smadison.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,5
2023-2024,18,INDIANA,IN,South Montgomery Com Sch Corp,01,,IN-5845,1810450,PO Box 8,,,New Market,IN,47965,,6425 US 231 South - Back,,,Crawfordsville,IN,47933,,(765)866-0203,http://www.southmont.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,5
2023-2024,18,INDIANA,IN,South Newton School Corp,01,,IN-5995,1810470,13232 S 50 E,,,Kentland,IN,47951,,13232 S 50 E,,,Kentland,IN,47951,,(219)474-5184,http://www.newton.k12.in.us,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,3
2023-2024,18,INDIANA,IN,South Putnam Community Schools,01,,IN-6705,1810500,3999 S US Hwy 231,,,Greencastle,IN,46135,,3999 S US Hwy 231,,,Greencastle,IN,46135,,(765)653-3119,http://www.sputnam.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,18,INDIANA,IN,South Ripley Com Sch Corp,01,,IN-6865,1810530,PO Box 690,,,Versailles,IN,47042,,207 W Tyson St,,,Versailles,IN,47042,,(812)689-6282,http://www.sripley.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,3
2023-2024,18,INDIANA,IN,South Spencer County Sch Corp,01,,IN-7445,1810560,321 S 5th Street,,,Rockport,IN,47635,,321 S 5th St,,,Rockport,IN,47635,,(812)649-2591,http://www.sspencer.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,18,INDIANA,IN,South Vermillion Com Sch Corp,01,,IN-8020,1810590,PO Box 387,,,Clinton,IN,47842,,800 W Wildcat Dr,,,Clinton,IN,47842,,(765)832-2426,http://www.svcs.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,18,INDIANA,IN,Southeast Fountain School Corp,01,,IN-2455,1810620,744 E US Hwy 136,,,Veedersburg,IN,47987,,744 E US HWY 136,,,Veedersburg,IN,47987,,(765)294-2254,http://www.sefschools.org,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,3
2023-2024,18,INDIANA,IN,Southeast Dubois Co Sch Corp,01,,IN-2100,1810640,432 E 15th St,,,Ferdinand,IN,47532,,432 E 15th St,,,Ferdinand,IN,47532,,(812)817-0900,http://www.sedubois.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,18,INDIANA,IN,Hamilton Southeastern Schools,01,,IN-3005,1810650,13485 Cumberland Rd,,,Fishers,IN,46038,,13485 Cumberland Rd,,,Fishers,IN,46038,,(317)594-4100,http://www.hseschools.org/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,22
2023-2024,18,INDIANA,IN,Southeastern Career Center,01,,IN-6915,1810660,901 W US 50,,,Versailles,IN,47042,,901 W US 50,,,Versailles,IN,47042,,(812)689-5253,http://www.seidata.com/~scc/voc.html,1,Open,1,Open,04/17/2024,8,Other local education agency,No,NOTCHR,Not a charter district,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported,1
2023-2024,18,INDIANA,IN,Lewis Cass Schools,01,,IN-0815,1810680,100 S Main Street,,,Walton,IN,46994,,100 S Main Street,,,Walton,IN,46994,,(574)626-2525,http://www.lewiscass.net,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,18,INDIANA,IN,Southern Hancock Co Com Sch Corp,01,,IN-3115,1810710,PO Box 508,,,New Palestine,IN,46163,,4711 S 500 W,,,New Palestine,IN,46163,,(317)861-4463,http://corp.newpal.k12.in.us,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,6
2023-2024,18,INDIANA,IN,Randolph Southern School Corp,01,,IN-6805,1810740,1 Rebel Dr,,,Lynn,IN,47355,,1 Rebel Dr,,,Lynn,IN,47355,,(765)874-1181,http://www.rssc.k12.in.us,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,18,INDIANA,IN,Southern Wells Com Schools,01,,IN-8425,1810770,9120 S 300 W,,,Poneto,IN,46781,,9120 S 300 W,,,Poneto,IN,46781,,(765)728-5537,http://www.swraiders.com,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,18,INDIANA,IN,Southwestern-Jefferson Co Con,01,,IN-4000,1810800,239 S Main Cross St,,,Hanover,IN,47243,,239 S Main Cross St,,,Hanover,IN,47243,,(812)866-6255,http://www.swjcs.us,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,3
2023-2024,18,INDIANA,IN,Southwestern Con Sch Shelby Co,01,,IN-7360,1810830,3406 W 600 S,,,Shelbyville,IN,46176,,3406 W 600 S,,,Shelbyville,IN,46176,,(317)729-5746,http://www.swshelby.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,18,INDIANA,IN,Southwest School Corporation,01,,IN-7715,1810860,PO Box 510,,,Sullivan,IN,47882,,1502 North Section Street,,,Sullivan,IN,47882,,(812)268-6311,http://www.swest.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,5
2023-2024,18,INDIANA,IN,Southwest Dubois Co Sch Corp,01,,IN-2110,1810870,105 West Sunset Drive,,,Huntingburg,IN,47542,,105 West Sunset Drive,,,Huntingburg,IN,47542,,(812)683-3971,http://www.swdubois.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,18,INDIANA,IN,Southwest Parke Com Sch Corp,01,,IN-6260,1810900,4851 S Coxville Rd,,,Montezuma,IN,47862,,4851 S Coxville Rd,,,Montezuma,IN,47862,,(765)569-2073,http://www.swparke.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,3
2023-2024,18,INDIANA,IN,School Town of Speedway,01,,IN-5400,1810920,5300 Crawfordsville Rd,,,Speedway,IN,46224,,5300 Crawfordsville Rd,,,Speedway,IN,46224,,(317)244-0236,http://www.speedwayschools.net,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,6
2023-2024,18,INDIANA,IN,Spencer-Owen Community Schools,01,,IN-6195,1810950,205 E Hillside,,,Spencer,IN,47460,,205 E Hillside,,,Spencer,IN,47460,,(812)829-2233,http://www.socs.k12.in.us,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,6
2023-2024,18,INDIANA,IN,Springs Valley Com School Corp,01,,IN-6160,1810980,498 S Larry Bird Blvd,,,French Lick,IN,47432,,498 S Larry Bird Blvd,,,French Lick,IN,47432,,(812)936-4474,http://www.svalley.k12.in.us,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,18,INDIANA,IN,MSD Steuben County,01,,IN-7615,1811100,400 S Martha St,,,Angola,IN,46703,,400 S Martha St,,,Angola,IN,46703,,(260)665-2854,http://www.msdsteuben.k12.in.us,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,6
2023-2024,18,INDIANA,IN,Sunman-Dearborn Com Sch Corp,01,,IN-1560,1811190,1 Trojan Place Ste B,,,St Leon,IN,47012,,1 Trojan Place Ste B,,,St Leon,IN,47012,,(812)623-2291,http://www.sunmandearborn.k12.in.us,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,5
2023-2024,18,INDIANA,IN,Switzerland County School Corp,01,,IN-7775,1811220,1040 W Main St,,,Vevay,IN,47043,,1040 W Main St,,,Vevay,IN,47043,,(812)427-2611,http://www.switzsc.org,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,18,INDIANA,IN,Taylor Community School Corp,01,,IN-3460,1811250,3750 E CR 300 S,,,Kokomo,IN,46902,,3750 E CR 300 S,,,Kokomo,IN,46902,,(765)453-3035,http://www.taylor.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,3
2023-2024,18,INDIANA,IN,Tell City-Troy Twp School Corp,01,,IN-6350,1811260,837 17th St,,,Tell City,IN,47586,,837 17th St,,,Tell City,IN,47586,,(812)547-3300,http://www.tellcity.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,18,INDIANA,IN,Tippecanoe School Corp,01,,IN-7865,1811340,21 Elston Rd,,,Lafayette,IN,47909,,21 Elston Rd,,,Lafayette,IN,47909,,(765)474-2481,http://www.tsc.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported,20
2023-2024,18,INDIANA,IN,Tippecanoe Valley School Corp,01,,IN-4445,1811370,8343 S SR 19,,,Akron,IN,46910,,8343 S SR 19,,,Akron,IN,46910,,(574)598-2759,http://www.tvsc.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,18,INDIANA,IN,Tipton Community School Corp,01,,IN-7945,1811400,1051 S Main St,,,Tipton,IN,46072,,1051 S Main St,,,Tipton,IN,46072,,(765)675-2147,http://www.tcsc.k12.in.us,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,3
2023-2024,18,INDIANA,IN,Tri-County School Corporation,01,,IN-8535,1811430,105 N 2nd St,,,Wolcott,IN,47995,,105 N 2nd St,,,Wolcott,IN,47995,,(219)279-2418,http://www.trico.k12.in.us,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,3
2023-2024,18,INDIANA,IN,Tri-Creek School Corporation,01,,IN-4645,1811460,19290 Cline Avenue,,,Lowell,IN,46356,,19290 Cline Avenue,,,Lowell,IN,46356,,(219)696-6661,http://www.tricreek.k12.in.us,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported,5
2023-2024,18,INDIANA,IN,Triton School Corporation,01,,IN-5495,1811490,100 Triton Dr,,,Bourbon,IN,46504,,100 Triton Dr,,,Bourbon,IN,46504,,(574)342-2255,http://www.triton.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,18,INDIANA,IN,Twin Lakes School Corp,01,,IN-8565,1811580,565 S Main St,,,Monticello,IN,47960,,565 S Main St,,,Monticello,IN,47960,,(574)583-7211,http://tlschools.com,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,5
2023-2024,18,INDIANA,IN,Twin Rivers Career & Tech Ed Area,01,,IN-1425,1811600,PO Box 1266,,,Vincennes,IN,47591,,20 N Third St,,,Vincennes,IN,47591,,(812)882-0801,http://twinriversarea.org/,1,Open,1,Open,04/17/2024,8,Other local education agency,No,NOTCHR,Not a charter district,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,0
2023-2024,18,INDIANA,IN,Union Co/Clg Corner Joint Sch Dist,01,,IN-7950,1811610,107 S Layman St,,,Liberty,IN,47353,,107 S Layman St,,,Liberty,IN,47353,,(765)458-7471,http://www.uc.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,18,INDIANA,IN,Union Township School Corp,01,,IN-6530,1811700,599 W 300 N Suite A,,,Valparaiso,IN,46385,,599 W 300 N Suite A,,,Valparaiso,IN,46385,,(219)759-2531,http://www.union.k12.in.us/UTSC/UTSC%20web%20page/corpINDEX.html,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported,4
2023-2024,18,INDIANA,IN,Union School Corporation,01,,IN-6795,1811730,8707 W US Hwy 36 PO Box 148,,,Modoc,IN,47358,,8707 W US Hwy 36,,,Modoc,IN,47358,,(765)853-5464,http://www.usc.k12.in.us,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported,5
2023-2024,18,INDIANA,IN,Union-North United School Corp,01,,IN-7215,1811910,22601 Tyler Rd,,,Lakeville,IN,46536,,22601 Tyler Rd,,,Lakeville,IN,46536,,(574)784-8141,http://www.unorth.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported,3
2023-2024,18,INDIANA,IN,Heartland Career Center,01,,IN-8065,1811930,79 S 200 W,,,Wabash,IN,46992,,79 S 200 W,,,Wabash,IN,46992,,(260)563-7481,http://www.hcc.k12.in.us/,1,Open,1,Open,04/17/2024,8,Other local education agency,No,NOTCHR,Not a charter district,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported,1
2023-2024,18,INDIANA,IN,Valparaiso Community Schools,01,,IN-6560,1811970,3801 N Campbell St,,,Valparaiso,IN,46385,,3801 N Campbell St,,,Valparaiso,IN,46385,,(219)531-3000,http://www.valpo.k12.in.us,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,11
2023-2024,18,INDIANA,IN,Crothersville Community Schools,01,,IN-3710,1812060,201 S Preston St,,,Crothersville,IN,47229,,201 S Preston St,,,Crothersville,IN,47229,,(812)793-2601,http://www.crothersville.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,18,INDIANA,IN,Vigo County School Corp,01,,IN-8030,1812090,PO Box 3703,,,Terre Haute,IN,47803,,686 Wabash Ave,,,Terre Haute,IN,47807,,(812)462-4216,http://www.vigoschools.org,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,26
2023-2024,18,INDIANA,IN,Vincennes Community School Corp,01,,IN-4335,1812120,1712 S Quail Run Road,,,Vincennes,IN,47591,,1712 S Quail Run Road,,,Vincennes,IN,47591,,(812)882-4844,http://www.vcsc.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,7
2023-2024,18,INDIANA,IN,Wabash City Schools,01,,IN-8060,1812150,189 W Market St,,,Wabash,IN,46992,,189 W Market St,,,Wabash,IN,46992,,(260)563-2151,http://apaches.k12.in.us/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,18,INDIANA,IN,MSD Wabash County Schools,01,,IN-8050,1812180,204 N 300 W,,,Wabash,IN,46992,,204 N 300 W,,,Wabash,IN,46992,,(260)563-8050,http://www.msdwc.org/,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,7
2023-2024,18,INDIANA,IN,Wa-Nee Community Schools,01,,IN-2285,1812240,1300 N Main St,,,Nappanee,IN,46550,,1300 N Main St,,,Nappanee,IN,46550,,(574)773-3131,http://www.wanee.org,1,Open,1,Open,04/17/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,5
